Farm Parity Holstein THI NDF SCC
Caramel 0 75 70.39 32 23403
HappyCows 0 25 73.28 33 37100
Caramel 0 25 73.87 32 14527
Caramel 0 0 71.16 35 38046
SweetMilk 1 100 76.28 39 224027
SweetMilk 1 50 73.46 40 145414
Caramel 1 50 74.2 36 24379
HappyCows 1 75 74.02 37 53634
HappyCows 1 100 75.89 36 68345
Caramel 0 50 71.55 40 14558
HappyCows 0 50 72.83 37 16455
SweetMilk 1 25 72.66 41 19200
SweetMilk 1 100 70.5 36 111028
SweetMilk 0 0 73.39 35 4667
HappyCows 0 25 74.03 34 10715
SweetMilk 1 50 72.52 36 119240
SweetMilk 0 25 68.08 32 3816
HappyCows 1 50 71.25 36 51005
Caramel 1 75 72.2 36 36428
SweetMilk 1 75 72.81 38 32843
Caramel 1 50 74.67 32 19973
HappyCows 1 100 74.02 36 69173
Caramel 1 25 72.74 38 47046
Caramel 1 25 75.47 40 91808
HappyCows 1 100 71.89 37 20502
Caramel 1 50 75.62 37 56305
Caramel 1 100 71.59 36 38471
HappyCows 0 50 75.21 34 19997
Caramel 1 100 74.49 37 114055
HappyCows 0 100 75.13 32 27657
HappyCows 0 25 77.61 32 15012
HappyCows 1 50 73.99 36 42958
Caramel 0 25 70.8 30 11421
Caramel 1 50 73.46 32 36289
HappyCows 1 100 76.01 34 106577
SweetMilk 1 100 72.9 34 105997
SweetMilk 1 100 71.53 33 150889
SweetMilk 1 75 69.22 35 15098
HappyCows 1 25 75.05 39 36861
Caramel 0 0 73.9 31 9062
SweetMilk 1 100 82.15 41 662771
HappyCows 1 75 73.96 35 89770
SweetMilk 0 25 70.62 30 65783
Caramel 0 25 69.29 30 20064
HappyCows 0 25 72.52 35 11187
Caramel 1 100 70.23 38 11309
SweetMilk 0 25 64.87 30 6117
SweetMilk 0 0 73.93 32 84604
HappyCows 1 100 72.53 38 72623
HappyCows 1 100 71.76 36 14098
Caramel 1 50 77.06 36 160175
SweetMilk 1 25 74.34 31 55581
SweetMilk 1 100 69.58 33 10354
Caramel 1 100 72.08 42 68613
SweetMilk 1 100 75.83 38 170460
SweetMilk 1 50 72.18 37 12803
Caramel 1 25 75.99 37 30344
Caramel 1 50 70.67 38 38043
HappyCows 0 50 74.86 35 90824
