Rumination Parity NDF CP Disease
557 0 30 19 0
333 0 30.3 18.5 1
474 0 29.6 17.9 0
354 0 29.6 17.9 0
235 0 30.3 18.5 0
552 0 30.3 18 0
494 0 30.3 18 0
406 0 29.7 18.8 0
281 0 29.6 17.9 0
404 0 29.6 17.9 1
477 0 29.6 19.8 0
494 0 30.3 18 1
488 0 30 19 1
366 0 29.6 19.8 0
300 0 30 19 1
431 0 29.6 17.9 1
447 0 29.6 17.9 0
331 0 30.3 18 0
604 0 30.3 18 0
406 0 30.2 18.9 0
434 0 29.3 18.1 1
548 0 30.3 18 0
225 0 30 19 1
493 0 30 19 1
238 0 29.6 19.8 0
472 0 29.6 17.9 0
319 0 30 19 1
395 0 30.2 18.9 1
346 0 30 19 0
494 0 29.7 18.8 0
461 0 30 19 1
376 0 30.3 18 1
436 0 29.6 19.8 0
721 0 30.2 18.9 1
471 0 30.3 18.5 1
404 0 30.2 18.9 0
450 0 29.3 18.1 0
465 0 30.2 18.9 0
456 0 30.3 18.5 0
292 0 30.2 18.9 0
379 0 29.3 18.1 0
498 0 30.3 18.5 0
539 0 29.3 18.1 0
419 0 30.6 17.7 0
477 0 30.2 18.9 0
488 0 30.2 18.9 0
351 0 29.3 18.1 0
508 0 29.3 18.1 0
498 0 29.3 18.1 0
474 0 30.3 18.5 0
299 0 29.3 18.1 0
569 1 30.3 18 0
333 1 29.6 17.9 0
317 1 29.6 17.9 0
458 1 30.3 18.5 1
543 1 30 19 0
407 1 30.3 18.5 1
118 1 30 19 0
510 1 30.3 18 0
529 1 30 19 0
506 1 29.6 17.9 0
539 1 30 19 1
538 1 30.3 18.5 0
453 1 29.3 18.1 0
490 1 30 19 0
239 1 29.6 17.9 0
493 1 30.6 17.7 0
142 1 29.6 17.9 0
620 1 29.3 18.1 0
323 1 29.6 19.8 0
496 1 30 19 0
606 1 29.6 19.8 1
373 1 30 19 1
527 1 30.2 18.9 0
586 1 30 19 1
262 1 29.6 17.9 0
316 1 30.2 18.9 1
309 1 29.3 18.1 0
624 1 30.3 18 1
459 1 29.6 19.8 1
392 1 30 19 0
373 1 30 19 0
366 1 30 19 1
431 1 30 19 0
395 1 30.3 18.5 0
541 1 29.6 19.8 0
405 1 29.6 17.9 0
430 1 30.3 18 1
519 1 30 19 0
378 1 30 19 0
539 1 29.3 18.1 0
517 1 29.3 18.1 0
572 1 30 19 0
557 1 30.3 18.5 0
533 1 29.3 18.1 0
408 1 30.3 18 0
259 1 29.6 17.9 1
490 1 30 19 0
432 1 30 19 0
457 1 30 19 0
508 1 30 19 0
466 1 30 19 0
590 1 29.6 19.8 1
448 1 30 19 0
505 1 29.6 17.9 0
479 1 30.3 18 0
556 1 30.3 18 1
456 1 29.3 18.1 0
